epoch,error,step,train_loss,val_loss
0,,7,,0.0032579523976892233
1,,15,,0.0028786028269678354
2,,23,,0.002541105030104518
3,,31,,0.0022490709088742733
4,,39,,0.0019985472317785025
5,,47,,0.0017869488801807165
6,5.777873992919922,49,0.0017812071600928903,
6,,55,,0.0016063334187492728
7,,63,,0.0014495322247967124
8,,71,,0.001329603954218328
9,,79,,0.0012227428378537297
10,,87,,0.001136062783189118
11,,95,,0.0010631836485117674
12,2.0442135334014893,99,0.0012614097213372588,
12,,103,,0.0010038809850811958
13,,111,,0.0009527130168862641
14,,119,,0.0009134350693784654
15,,127,,0.0008811375009827316
16,,135,,0.0008561024442315102
17,,143,,0.0008327396935783327
18,1.6283084154129028,149,0.0016823556507006288,
18,,151,,0.0008116903482005
19,,159,,0.0007951538427732885
20,,167,,0.0007792299147695303
21,,175,,0.0007650693296454847
22,,183,,0.0007530429866164923
23,,191,,0.0007420539041049778
24,2.840156316757202,199,6.466956983786076e-05,
24,,199,,0.0007322635501623154
25,,207,,0.0007230697083286941
26,,215,,0.0007149496814236045
27,,223,,0.0007067938568070531
28,,231,,0.0006984611391089857
29,,239,,0.0006901192246004939
30,,247,,0.0006825940799899399
31,1.7384307384490967,249,0.0006800222909078002,
31,,255,,0.0006744395359419286
32,,263,,0.0006643746164627373
33,,271,,0.0006560077890753746
34,,279,,0.0006478961440734565
35,,287,,0.0006403164588846266
36,,295,,0.0006327031296677887
37,5.494203090667725,299,0.00046881072921678424,
37,,303,,0.000625516171567142
38,,311,,0.000617162964772433
39,,319,,0.0006100978353060782
40,,327,,0.0006029047071933746
41,,335,,0.0005960530834272504
42,,343,,0.0005895565846003592
43,5.524932384490967,349,0.0008065616711974144,
43,,351,,0.0005834505427628756
44,,359,,0.0005772808217443526
45,,367,,0.0005695655127055943
46,,375,,0.0005617241258732975
47,,383,,0.0005552847287617624
48,,391,,0.0005490593612194061
49,2.8118817806243896,399,0.0031017668079584837,
49,,399,,0.000543167581781745
